"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mlu_02863.mRNA1",110.096150974102,4.1070548653668,0.377223809567519,10.531386401362,6.19157650802721e-26,2.14928195323148e-21
"Mlu_43380.mRNA1",106.174284856111,4.29759274126466,0.411998465854375,10.0061254270257,1.43253478553795e-23,2.48637900051894e-19
"Mlu_24757.mRNA1",97.522297871831,4.34061836233738,0.429829069812941,9.63754286857053,5.55005249132131e-22,6.42196573770788e-18
"Mlu_14606.mRNA1",295.814819868316,2.89496503905744,0.310300324356173,9.31169753802884,1.25805338972175e-20,9.34915208005362e-17
"Mlu_20087.mRNA1",939.577398782185,2.73419237720147,0.293852715211796,9.30446897218867,1.34663556593403e-20,9.34915208005362e-17
"Mlu_04173.mRNA1",1144.15316695136,2.3917599932625,0.261716749369375,9.13806092591402,6.35821124438796e-20,3.67854311544065e-16
"Mlu_45519.mRNA1",774.453380966246,1.6745416976862,0.206351502829244,8.11197862503277,4.98020630012967e-16,2.4696843042343e-12
"Mlu_33759.mRNA1",286.626095912202,2.79974343392956,0.362407324262218,7.68047009093531,1.58505852201854e-14,6.87776705935369e-11
"Mlu_39567.mRNA1",64.7273203080092,3.98540577371449,0.494236489681808,7.61587918746277,2.61902571439917e-14,1.01015821804376e-10
"Mlu_10198.mRNA1",130.815407062465,4.69117805414138,0.574421738224426,7.41282560237436,1.23636427134739e-13,4.2917912951282e-10
"Mlu_07683.mRNA1",427.111931635835,-1.63362877239345,0.225988869248231,-7.22700205165596,4.9377264528694e-13,1.55821180325869e-09
"Mlu_39530.mRNA1",868.616597053934,1.51502864677815,0.211296197214755,7.16901166778123,7.55411193324377e-13,2.18521572948909e-09
"Mlu_37520.mRNA1",143.88796354305,4.2352662718547,0.593161783642012,6.83613441175992,8.13586135889927e-12,2.17246273347285e-08
"Mlu_02813.mRNA1",1274.43774783582,1.53503891463245,0.226068207949368,6.7873313766198,1.14226641878911e-11,2.8322495853876e-08
"Mlu_10047.mRNA1",1775.96817377873,1.63362823030672,0.248503044586495,6.57583114058243,4.83821379735255e-11,1.11965943698333e-07
"Mlu_32158.mRNA1",2123.68613435275,1.89903473380686,0.293263130034129,6.4878025045063,8.70973442457792e-11,1.88963131925233e-07
"Mlu_11841.mRNA1",1443.33096261072,1.71590112082518,0.265786925165144,6.45577512124219,1.0766638770709e-10,2.19848430380954e-07
"Mlu_00579.mRNA1",58.1389387709752,-3.07184031014675,0.470971272629693,-6.36210698671717,1.99004742090459e-10,3.75786852498411e-07
