,V1,V2
1,Mlu_00001,272
2,Mlu_00002,57
3,Mlu_00003,0
4,Mlu_00004,66
5,Mlu_00005,102
6,Mlu_00006,87
7,Mlu_00007,25
8,Mlu_00008,113
9,Mlu_00009,263
10,Mlu_00010,3
11,Mlu_00011,1
12,Mlu_00012,0
13,Mlu_00013,2
14,Mlu_00014,39
15,Mlu_00015,1
16,Mlu_00016,8
17,Mlu_00017,0
18,Mlu_00018,4
19,Mlu_00019,0
20,Mlu_00020,78
21,Mlu_00021,8
22,Mlu_00022,32
23,Mlu_00023,105
24,Mlu_00024,0
25,Mlu_00025,22
26,Mlu_00026,5
27,Mlu_00027,95
28,Mlu_00028,0
29,Mlu_00029,46
30,Mlu_00030,105
31,Mlu_00031,20
32,Mlu_00032,0
33,Mlu_00033,13
34,Mlu_00034,118
35,Mlu_00035,88
36,Mlu_00036,123
37,Mlu_00037,3
38,Mlu_00038,350
39,Mlu_00039,22
40,Mlu_00040,1
41,Mlu_00041,1
42,Mlu_00042,0
43,Mlu_00043,0
44,Mlu_00044,115
45,Mlu_00045,140
46,Mlu_00046,3
47,Mlu_00047,0
48,Mlu_00048,36
49,Mlu_00049,0
50,Mlu_00050,2124
51,Mlu_00051,0
52,Mlu_00052,0
53,Mlu_00053,2
54,Mlu_00054,0
55,Mlu_00055,0
56,Mlu_00056,0
57,Mlu_00057,1
58,Mlu_00058,2
59,Mlu_00059,41
60,Mlu_00060,0
61,Mlu_00061,359
62,Mlu_00062,0
63,Mlu_00063,82
64,Mlu_00064,95
65,Mlu_00065,326
66,Mlu_00066,2
67,Mlu_00067,585
68,Mlu_00068,40
69,Mlu_00069,0
70,Mlu_00070,4
71,Mlu_00071,0
72,Mlu_00072,26
73,Mlu_00073,43
74,Mlu_00074,0
75,Mlu_00075,12
76,Mlu_00076,0
77,Mlu_00077,0
78,Mlu_00078,0
79,Mlu_00079,74
80,Mlu_00080,0
81,Mlu_00081,28
82,Mlu_00082,0
83,Mlu_00083,8
84,Mlu_00084,82
85,Mlu_00085,2
86,Mlu_00086,52
