"","V1","V2"
"1","Mlu_00001.mRNA1",345
"2","Mlu_00002.mRNA1",127
"3","Mlu_00003.mRNA1",0
"4","Mlu_00004.mRNA1",174
"5","Mlu_00005.mRNA1",244
"6","Mlu_00006.mRNA1",160
"7","Mlu_00007.mRNA1",59
"8","Mlu_00008.mRNA1",564
"9","Mlu_00009.mRNA1",611
"10","Mlu_00010.mRNA1",7
"11","Mlu_00011.mRNA1",0
"12","Mlu_00012.mRNA1",184
"13","Mlu_00013.mRNA1",2
"14","Mlu_00014.mRNA1",143
"15","Mlu_00015.mRNA1",3
"16","Mlu_00016.mRNA1",42
"17","Mlu_00017.mRNA1",0
"18","Mlu_00018.mRNA1",16
"19","Mlu_00019.mRNA1",1
"20","Mlu_00020.mRNA1",74
"21","Mlu_00021.mRNA1",16
"22","Mlu_00022.mRNA1",125
"23","Mlu_00023.mRNA1",348
"24","Mlu_00024.mRNA1",0
"25","Mlu_00025.mRNA1",84
"26","Mlu_00026.mRNA1",61
"27","Mlu_00027.mRNA1",339
"28","Mlu_00028.mRNA1",1
"29","Mlu_00029.mRNA1",433
"30","Mlu_00030.mRNA1",464
"31","Mlu_00031.mRNA1",71
"32","Mlu_00032.mRNA1",0
"33","Mlu_00033.mRNA1",151
"34","Mlu_00034.mRNA1",281
"35","Mlu_00035.mRNA1",229
"36","Mlu_00036.mRNA1",697
"37","Mlu_00037.mRNA1",15
"38","Mlu_00038.mRNA1",1155
"39","Mlu_00039.mRNA1",55
"40","Mlu_00040.mRNA1",4
"41","Mlu_00041.mRNA1",5
"42","Mlu_00042.mRNA1",0
"43","Mlu_00043.mRNA1",0
"44","Mlu_00044.mRNA1",279
"45","Mlu_00045.mRNA1",362
"46","Mlu_00046.mRNA1",27
"47","Mlu_00047.mRNA1",0
"48","Mlu_00048.mRNA1",130
"49","Mlu_00049.mRNA1",0
"50","Mlu_00050.mRNA1",4956
"51","Mlu_00051.mRNA1",0
"52","Mlu_00052.mRNA1",2
"53","Mlu_00053.mRNA1",0
"54","Mlu_00054.mRNA1",0
"55","Mlu_00055.mRNA1",0
"56","Mlu_00056.mRNA1",0
"57","Mlu_00057.mRNA1",2
"58","Mlu_00058.mRNA1",23
"59","Mlu_00059.mRNA1",181
"60","Mlu_00060.mRNA1",5
"61","Mlu_00061.mRNA1",1486
"62","Mlu_00062.mRNA1",0
"63","Mlu_00063.mRNA1",148
"64","Mlu_00064.mRNA1",266
"65","Mlu_00065.mRNA1",1377
"66","Mlu_00066.mRNA1",13
"67","Mlu_00067.mRNA1",4066
"68","Mlu_00068.mRNA1",94
"69","Mlu_00069.mRNA1",0
"70","Mlu_00070.mRNA1",20
"71","Mlu_00071.mRNA1",2
"72","Mlu_00072.mRNA1",235
"73","Mlu_00073.mRNA1",257
"74","Mlu_00074.mRNA1",4
"75","Mlu_00075.mRNA1",0
"76","Mlu_00076.mRNA1",0
"77","Mlu_00077.mRNA1",5
"78","Mlu_00078.mRNA1",0
"79","Mlu_00079.mRNA1",435
"80","Mlu_00080.mRNA1",3
"81","Mlu_00081.mRNA1",225
"82","Mlu_00082.mRNA1",0
"83","Mlu_00083.mRNA1",16
"84","Mlu_00084.mRNA1",181
"85","Mlu_00085.mRNA1",15
"86","Mlu_00086.mRNA1",307
"87","Mlu_00087.mRNA1",234
"88","Mlu_00088.mRNA1",987
"89","Mlu_00089.mRNA1",2163
"90","Mlu_00090.mRNA1",3
"91","Mlu_00091.mRNA1",5
"92","Mlu_00092.mRNA1",401
"93","Mlu_00093.mRNA1",441
"94","Mlu_00094.mRNA1",431
"95","Mlu_00095.mRNA1",4
"96","Mlu_00096.mRNA1",41
"97","Mlu_00097.mRNA1",0
"98","Mlu_00098.mRNA1",0
"99","Mlu_00099.mRNA1",0
"100","Mlu_00100.mRNA1",11
"101","Mlu_00101.mRNA1",5
"102","Mlu_00102.mRNA1",332
"103","Mlu_00103.mRNA1",6
"104","Mlu_00104.mRNA1",1178
"105","Mlu_00105.mRNA1",37
"106","Mlu_00106.mRNA1",254
"107","Mlu_00107.mRNA1",6
"108","Mlu_00108.mRNA1",1027
"109","Mlu_00109.mRNA1",1055
"110","Mlu_00110.mRNA1",68
"111","Mlu_00111.mRNA1",756
"112","Mlu_00112.mRNA1",39
"113","Mlu_00113.mRNA1",15
"114","Mlu_00114.mRNA1",374
"115","Mlu_00115.mRNA1",104
"116","Mlu_00116.mRNA1",524
"117","Mlu_00117.mRNA1",87
"118","Mlu_00118.mRNA1",184
"119","Mlu_00119.mRNA1",15
