genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,blast,annotation
Mlu_39530,868.6165971,1.515028647,0.211296197,7.169011668,7.55E-13,2.19E-09,AT4G09820,y_bHLH
Mlu_17841,102.3635881,2.350574428,0.371978849,6.291003645,3.15E-10,5.01E-07,AT3G61250,x_myb
Mlu_31304,1364.091238,-1.826010428,0.307943868,-5.919618347,3.23E-09,3.61E-06,AT5G49330,x_myb
Mlu_27563,108.6816963,1.79511319,0.312209692,5.704518406,1.17E-08,9.64E-06,AT2G47460,x_myb
Mlu_23921,25.45245626,-3.016701625,0.518597157,-5.498003168,3.84E-08,2.67E-05,AT3G21330,y_bHLH
Mlu_06147,445.235223,-0.998267757,0.205436981,-4.859112349,1.18E-06,0.000400809,AT3G01140,x_myb
Mlu_12200,81.52395388,1.498311788,0.315583984,4.70842797,2.50E-06,0.000698836,AT1G66370,"z_""myb5"""
Mlu_11120,28.78235825,2.237390449,0.516354074,4.380975454,1.18E-05,0.002310481,AT2G31220,y_bHLH
Mlu_08754,36.37862389,-1.977576068,0.453162855,-4.356569903,1.32E-05,0.002519868,AT3G01140,x_myb
Mlu_20959,2637.069975,0.805137338,0.188014115,4.281142947,1.86E-05,0.003309944,AT1G63650,y_bHLH
Mlu_00921,180.5761276,2.332994613,0.595794382,3.894771876,9.83E-05,0.010866185,AT5G14750,x_myb
Mlu_13044,62.1645343,2.348245316,0.599832662,3.841483578,0.000122293,0.012710042,AT4G01060,x_myb
Mlu_24690,90.6230577,1.465691119,0.399482193,3.662036542,0.000250218,0.021606525,AT1G68320,x_myb
Mlu_05348,55.29630925,2.051408955,0.597351243,3.337349573,0.000845815,0.04781885,AT2G47460,x_myb
Mlu_39790,551.3178576,-0.803842947,0.241698866,-3.323677717,0.000888388,0.04910607,AT5G62470,x_myb
